Metal,protein
(In115)Di,CD45
(Pr141)Di,PLCg2
(Nd142)Di,CD19
(Nd143)Di,CD22
(Nd144)Di,p4EBP1
(Nd145)Di,Ikaros
(Nd146)Di,CD79b
(Sm147)Di,CD20
(Nd148)Di,CD34
(Sm149)Di,CD179a
(Nd150)Di,pSTAT5
(Sm152)Di,Ki67
(Eu153)Di,IgMi
(Gd156)Di,CD10
(Gd158)Di,CD179b
(Gd160)Di,CD24
(Dy162)Di,CD127
(Dy163)Di,RAG1
(Dy164)Di,Tdt
(Ho165)Di,Pax5
(Er166)Di,pSyk
(Er167)Di,CD43
(Er168)Di,CD38
(Yb172)Di,pS6
(Yb173)Di,pErk
(Yb174)Di,HLADR
(Lu175)Di,IgMs
(Yb176)Di,pCreb
(Eu151)Di,CD123
(Sm154)Di,IgL kappa
(Gd155)Di,IKAROS_i
(Tb159)Di,pAkt
(Dy161)Di,CRLF2
(Tm169)Di,CD58
(Er170)Di,HIT3a
(Yb171)Di,CD16
Time,time
time,time
Pm147Di,CD20
Lu176Di,pCreb
